start_time,end_time,meanBytes,minBytes,maxBytes,medAbsDev,skewLength,kurtosisLength,q10,q20,q30,q40,q50,q60,q70,q80,q90,spanOfGroup,meanTBP,varTBP,medianTBP,kurtosisTBP,skewTBP,network_to,network_from,network_both,network_to_external,network_local,anonymous_source_destination,device,state
1556305249.2791102,1556305276.679533,169.84838160136286,54,1502,2.965204437011204,5.697977370097099,40.953976989207185,99.0,101.0,101.0,101.0,101.0,122.0,140.0,308.0,313.0,27.40042281150818,0.020085890119250428,0.0027791269530816924,0.00976,77.91486969919725,8.00154053524754,0,0,0,1174,0,0,cloudcam,alexa_watch
1556305249.1879468,1556305276.684096,163.11413969335604,54,1486,2.965204437011204,5.592439071439208,45.44851797232243,99.0,101.0,101.0,101.0,101.0,122.0,132.0,307.0,313.0,27.49614930152893,0.01884500936967632,0.002396382499961548,0.0087,60.43862184184744,6.966942394439929,0,0,0,1174,0,0,cloudcam,alexa_watch
1556305249.1879468,1556305276.679482,169.01618398637137,54,1502,2.965204437011204,5.5574008423115915,37.54249419378682,99.0,101.0,101.0,101.0,101.0,122.0,128.0,307.0,313.0,27.491535186767578,0.01904537734241908,0.0022353450848353255,0.0091295,64.78553507151433,7.105786457536751,0,0,0,1174,0,0,cloudcam,alexa_watch
1556305249.2791102,1556305276.6795459,164.51107325383305,54,1502,2.965204437011204,5.803690849329364,44.18730125295319,99.0,101.0,101.0,101.0,101.0,122.0,132.0,307.0,313.0,27.40043568611145,0.019337139693356046,0.0020688608503453454,0.009692,53.89200676246757,6.540838536198598,0,0,0,1174,0,0,cloudcam,alexa_watch
1556305249.362776,1556305276.684096,166.32112436115844,54,1502,2.965204437011204,5.7444108424071025,42.99347854232646,99.0,101.0,101.0,101.0,101.0,122.0,132.0,307.0,313.0,27.321320056915283,0.020167459965928447,0.0022959187459655737,0.0110265,55.01508597987376,6.743614664474492,0,0,0,1174,0,0,cloudcam,alexa_watch
1556305249.1879468,1556305276.684096,162.02555366269166,54,1502,2.965204437011204,6.1302348961641515,48.45520606310009,99.0,101.0,101.0,101.0,101.0,122.0,128.0,295.40000000000055,313.0,27.49614930152893,0.01803420017035775,0.001406478282857596,0.009525,37.69682282655459,5.64762907064303,0,0,0,1174,0,0,cloudcam,alexa_watch
1556305249.1879468,1556305276.684096,165.62521294718908,54,1502,2.965204437011204,5.833188806980531,41.579353833086095,99.0,101.0,101.0,101.0,101.0,116.0,128.0,301.4000000000001,313.0,27.49614930152893,0.019418636286201024,0.002394927040797693,0.009817,65.87395354933932,7.353449676396378,0,0,0,1174,0,0,cloudcam,alexa_watch
1556305249.362776,1556305276.684096,167.76831345826236,54,1486,16.30862440356162,5.275960852449073,40.56966373112408,99.0,101.0,101.0,101.0,101.0,126.0,132.0,308.0,313.0,27.321320056915283,0.016451927597955707,0.0011109828850612497,0.009393,64.48161851028865,7.019254165816614,0,0,0,1174,0,0,cloudcam,alexa_watch
1556280516.4944909,1556280542.985978,181.80769230769232,54,1514,22.98033438683683,4.562547612094701,25.39607411009486,99.0,101.0,101.0,101.0,101.0,135.19999999999982,148.0,296.0,314.0,26.4914870262146,0.020397938914027143,0.011964673254875085,0.0084785,207.0992432251246,13.926473021103165,0,0,0,884,0,0,cloudcam,alexa_watch
1556280516.012614,1556280542.985978,177.5,54,1514,3.706505546264005,4.938793198057147,30.04493611199465,99.0,101.0,101.0,101.0,101.0,128.0,144.0,296.0,312.0,26.973363876342773,0.017920654977375564,0.008453522523596567,0.008438000000000001,318.2768588543508,17.018952708432867,0,0,0,884,0,0,cloudcam,alexa_watch
1556280516.012614,1556280542.985978,192.51696832579185,54,1514,22.239033277584028,4.139026759341609,19.50604762201348,99.0,101.0,101.0,101.0,101.0,138.0,160.0,305.0,314.0,26.973363876342773,0.024369978506787328,0.02593472617294291,0.009369,211.16701943832047,14.273085674206925,0,0,0,884,0,0,cloudcam,alexa_watch
1556280515.4732132,1556280542.985978,173.7443438914027,54,1514,2.965204437011204,4.735402228754766,28.77913194107899,99.0,101.0,101.0,101.0,101.0,128.0,144.39999999999964,296.0,312.0,27.51276469230652,0.025120590497737558,0.016498100537320225,0.010138,153.46023576036464,11.939208888821483,0,0,0,884,0,0,cloudcam,alexa_watch
1556280515.4732132,1556280542.96729,180.4547511312217,54,1514,7.41301109252801,4.762585502645246,26.039217131369494,99.0,101.0,101.0,101.0,101.0,128.0,144.0,296.0,313.0,27.4940767288208,0.02596212104072398,0.014880796982396432,0.008555,148.8900505649681,11.39994699730746,0,0,0,884,0,0,cloudcam,alexa_watch
1556280515.4732132,1556280542.985978,185.61990950226243,54,1514,2.965204437011204,4.366774865410868,21.690874093079106,99.0,101.0,101.0,101.0,101.0,128.0,144.39999999999964,296.0,314.0,27.51276469230652,0.024241613122171945,0.02598106840595887,0.008662,210.5125352503184,14.250272515394263,0,0,0,884,0,0,cloudcam,alexa_watch
1556280515.4732132,1556280542.985978,172.93778280542986,54,1514,2.965204437011204,4.814466059845284,29.089909549284968,99.0,101.0,101.0,101.0,101.0,122.0,144.0,296.0,312.0,27.51276469230652,0.016953883484162897,0.008667866703856173,0.007588,603.2576422412889,23.070326216675266,0,0,0,884,0,0,cloudcam,alexa_watch
1556280516.4944909,1556280542.985978,176.6685520361991,54,1514,2.965204437011204,4.890377269246045,28.18570974868274,99.0,101.0,101.0,101.0,101.0,122.0,144.0,296.0,312.0,26.4914870262146,0.020230572398190046,0.009092257365619893,0.009635,275.0402665930687,15.530652322489555,0,0,0,884,0,0,cloudcam,alexa_watch
1556280516.4944909,1556280542.985978,185.01696832579185,54,1514,2.965204437011204,4.557493194706893,25.22389369165349,99.0,101.0,101.0,101.0,101.0,128.0,148.0,308.4000000000001,315.0,26.4914870262146,0.02100176357466063,0.015472757046579374,0.008454,279.8918873501091,16.10552268859202,0,0,0,884,0,0,cloudcam,alexa_watch
1556280515.4732132,1556280542.985978,185.9785067873303,54,1514,16.30862440356162,4.575288667654221,24.311859931227847,99.0,101.0,101.0,101.0,101.0,132.0,149.1999999999989,296.0,313.0,27.51276469230652,0.0223367092760181,0.02283054411316453,0.007189,213.58329810568483,14.274425442164889,0,0,0,884,0,0,cloudcam,alexa_watch
1556332752.480567,1556332779.78741,174.32543859649124,54,1194,4.447806655516806,4.555174739068419,24.284357107788978,104.0,105.0,106.0,106.0,107.0,116.0,136.0,307.0,313.0,27.306843042373657,0.01925361052631579,0.001934436595704191,0.009516,50.280707650746365,6.4650415736587625,0,0,0,1140,0,0,cloudcam,alexa_watch
1556332752.4309058,1556332779.787209,179.51140350877193,54,1231,5.930408874022408,4.3592147742482386,21.68316528620692,104.0,105.0,106.0,107.0,107.0,116.0,140.0,309.0,314.0,27.356303215026855,0.02013558947368421,0.0022857436073870706,0.008284,39.37425443254746,5.821268261543837,0,0,0,1140,0,0,cloudcam,alexa_watch
1556332752.480567,1556332779.78741,169.52543859649123,54,1194,4.447806655516806,4.732719908609279,28.003617751584603,104.0,105.0,106.0,107.0,107.0,116.0,136.0,307.20000000000005,313.0,27.306843042373657,0.017031030701754386,0.0011055586619665718,0.0087395,46.39892665742839,5.961112603424448,0,0,0,1140,0,0,cloudcam,alexa_watch
1556332752.50987,1556332779.7817779,164.69912280701755,54,1231,4.447806655516806,4.906178939225157,30.649297125503388,104.0,105.0,106.0,106.0,107.0,112.0,132.0,304.0,312.0,27.271907806396484,0.01687421929824561,0.0012927393165892672,0.008294,68.71276506267164,7.193996840732914,0,0,0,1140,0,0,cloudcam,alexa_watch
1556332752.4309058,1556332779.7817779,176.21929824561403,54,1195,5.1891077647696076,4.4473028327375195,22.43410677145289,104.0,105.0,106.0,107.0,107.0,116.0,132.0,308.0,313.0,27.350872039794922,0.02101746842105263,0.0020316218654450073,0.010711,38.95539319659161,5.698415187161146,0,0,0,1140,0,0,cloudcam,alexa_watch
1556332752.4309058,1556332779.81078,174.03684210526316,54,1231,4.447806655516806,4.5061771190371065,23.653802223496758,104.0,105.0,106.0,107.0,107.0,112.0,132.0,308.0,313.0,27.379874229431152,0.01948730087719298,0.001752237903617032,0.009920499999999999,45.10399336733535,6.016378775037319,0,0,0,1140,0,0,cloudcam,alexa_watch
1556332752.457693,1556332779.81078,169.6640350877193,54,1194,4.447806655516806,4.688558713515986,26.42818564637391,104.0,105.0,106.0,107.0,107.0,112.0,132.0,306.20000000000005,313.10000000000014,27.353086948394775,0.01829300087719298,0.001595030228122036,0.0098125,39.7266969130534,5.90111771899858,0,0,0,1140,0,0,cloudcam,alexa_watch
1556332752.4309058,1556332779.81078,176.14298245614034,54,1231,4.447806655516806,4.445764205107094,23.229780223085843,104.0,105.0,106.0,107.0,107.0,112.0,140.0,309.0,313.0,27.379874229431152,0.018707541228070175,0.0014763952277217403,0.009204500000000001,42.58280475483157,5.818008589594092,0,0,0,1140,0,0,cloudcam,alexa_watch
1556332752.850561,1556332779.787209,169.63947368421051,54,1195,4.447806655516806,4.754111198228569,26.644969597263447,104.0,105.0,106.0,107.0,107.0,112.0,132.0,304.20000000000005,313.0,26.93664813041687,0.020147371929824562,0.0022483764016824424,0.010168,50.835444223645126,6.60119487165578,0,0,0,1140,0,0,cloudcam,alexa_watch
1556332752.4309058,1556332779.81078,170.3035087719298,54,1231,5.930408874022408,4.667119914359961,27.359258950223897,104.0,105.0,106.0,106.0,107.0,112.0,136.0,308.0,313.10000000000014,27.379874229431152,0.01868695701754386,0.001749175571500346,0.0098215,67.29672757633227,7.392394310610116,0,0,0,1140,0,0,cloudcam,alexa_watch
1556283263.074128,1556283290.392961,161.83617747440272,54,1487,2.965204437011204,5.093380788839641,43.607008457434965,99.0,101.0,101.0,101.0,101.0,116.0,132.0,308.0,313.0,27.318833112716675,0.017945878839590444,0.0015243577504259567,0.009269,48.76397711880128,6.355036795741361,0,0,0,1172,0,0,cloudcam,alexa_watch
